19042,5500.00,990.35,100.00
19111,32737.00,990.35,100.00
19180,53159.00,1008.25,100.00
19249,40676.00,1030.11,100.00
19318,-13863.00,1030.11,100.00
19387,-16257.00,1008.19,100.00
19457,3622.00,990.80,100.00
19527,-14194.00,991.37,100.00
19598,7013.00,991.37,100.00
19667,-8396.00,990.79,100.00
19738,-8125.00,990.59,100.00
19808,6773.00,990.59,100.00
19878,-2801.00,991.38,100.00
19948,-2729.00,992.35,100.00
20019,-2706.00,992.10,100.00
20088,-2629.00,992.10,100.00
20159,-2448.00,991.87,100.00
20229,-2113.00,991.66,100.00
20299,-2007.00,991.44,100.00
20369,-1807.00,991.44,100.00
20440,-1633.00,991.21,100.00
20509,-1516.00,991.00,100.00
20580,-1413.00,991.00,100.00
20649,-1291.00,990.85,100.00
20720,-1194.00,990.67,100.00
20790,-1122.00,990.54,100.00
20860,-1087.00,990.54,100.00
20931,-1004.00,990.40,100.00
21002,9028.00,990.29,100.00
21070,40005.00,999.95,100.00
21140,50334.00,999.95,100.00
21209,7366.00,1027.41,100.00
21277,-7101.00,990.52,100.00
21348,5838.00,990.52,100.00
21419,-7793.00,991.80,100.00
21488,-16819.00,991.17,100.00
21559,-3302.00,991.68,100.00
21629,-2927.00,991.68,100.00
21699,-2696.00,992.37,100.00
21770,-2710.00,992.07,100.00
21839,-2608.00,992.07,100.00
21910,-2398.00,991.85,100.00
21980,-2190.00,991.60,100.00
22050,-1878.00,991.37,100.00
22120,-1727.00,991.37,100.00
22191,-1580.00,991.17,100.00
22260,-1477.00,990.95,100.00
22331,-1376.00,990.77,100.00
22401,-1242.00,990.77,100.00
22471,-1158.00,990.61,100.00
22541,-1087.00,990.47,100.00
22611,-1027.00,990.47,100.00
22681,-970.00,990.34,100.00
22752,-784.00,990.21,100.00
22822,-714.00,990.09,100.00
22893,2179.00,990.09,100.00
22963,36143.00,990.08,100.00
23029,48498.00,1009.23,100.00
23099,48614.00,1030.42,100.00
23168,-14769.00,1030.42,100.00
23237,-6978.00,992.74,100.00
23307,6703.00,991.29,100.00
23377,7877.00,991.29,100.00
23447,-7618.00,992.10,100.00
23518,10420.00,991.05,100.00
23587,-14281.00,990.74,100.00
23658,-2331.00,990.74,100.00
23728,-2922.00,992.36,100.00
23798,-2706.00,992.12,100.00
23868,-2655.00,992.12,100.00
23939,-2483.00,991.88,100.00
24008,-2221.00,991.64,100.00
24079,-2022.00,991.46,100.00
24148,-1780.00,991.46,100.00
24219,-1660.00,991.26,100.00
24289,-1503.00,991.02,100.00
24359,-1452.00,990.85,100.00
24429,-1316.00,990.85,100.00
24500,-1206.00,990.67,100.00
24569,-1134.00,990.55,100.00
24640,-1040.00,990.55,100.00
24711,-1218.00,990.41,100.00
24781,-900.00,990.30,100.00
24852,6925.00,990.22,100.00
24921,34933.00,990.22,100.00
24989,58382.00,1005.58,100.00
25059,50106.00,1029.32,100.00
25127,-12680.00,1029.32,100.00
25197,-22891.00,1017.87,100.00
25267,-8001.00,990.98,100.00
25337,-7773.00,991.40,100.00
25408,6670.00,991.40,100.00
25478,-17095.00,991.33,100.00
25548,-9441.00,990.61,100.00
25618,-5662.00,991.25,100.00
25689,-2777.00,991.25,100.00
25758,-2805.00,992.34,100.00
25829,-2725.00,992.07,100.00
25899,-2651.00,992.07,100.00
25969,-2532.00,991.83,100.00
26039,-2190.00,991.61,100.00
26109,-2008.00,991.38,100.00
26179,-1849.00,991.38,100.00
26250,-1713.00,991.20,100.00
26319,-1516.00,990.96,100.00
26390,-1401.00,990.77,100.00
26460,-1304.00,990.77,100.00
26530,-1206.00,990.65,100.00
26600,-1134.00,990.51,100.00
26671,-1146.00,990.51,100.00
