6873100.00
29382,0,100.00
19240,-9327.00,0.00,100.00
19317,-19345.00,0.00,100.00
19394,-4664.00,0.00,100.00
19471,-6724.00,0.00,100.00
19547,-4245.00,0.00,100.00
19623,-3755.00,0.00,100.00
19696,-3484.00,0.00,100.00
19770,-3278.00,0.00,100.00
19843,-3088.00,0.00,100.00
19915,-3063.00,0.00,100.00
19988,-2904.00,0.00,100.00
20062,-2722.00,0.00,100.00
20134,-2635.00,0.00,100.00
20207,-2421.00,0.00,100.00
20280,-2195.00,0.00,100.00
20354,-1984.00,0.00,100.00
20426,-1772.00,0.00,100.00
20499,-1664.00,0.00,100.00
20572,-1545.00,0.00,100.00
20645,-1443.00,0.00,100.00
20718,-1343.00,0.00,100.00
20791,-1209.00,0.00,100.00
20865,-1173.00,0.00,100.00
20937,-1102.00,0.00,100.00
21010,-1007.00,0.00,100.00
21084,-972.00,0.00,100.00
21160,-728.00,0.00,100.00
21236,2553.00,0.00,100.00
21313,9953.00,0.00,100.00
21389,8186.00,0.00,100.00
21466,-16352.00,0.00,100.00
21541,-7125.00,0.00,100.00
21618,-3646.00,0.00,100.00
21695,-3909.00,0.00,100.00
21772,-3490.00,0.00,100.00
21848,-3139.00,0.00,100.00
21918,-3008.00,0.00,100.00
21994,-2880.00,0.00,100.00
22070,-2760.00,0.00,100.00
22146,-2661.00,0.00,100.00
22222,-2505.00,0.00,100.00
22298,-2211.00,0.00,100.00
22374,-2056.00,0.00,100.00
22451,-1840.00,0.00,100.00
22526,-1664.00,0.00,100.00
22602,-1520.00,0.00,100.00
22678,-1392.00,0.00,100.00
22755,-1307.00,0.00,100.00
22831,-1173.00,0.00,100.00
22906,-1137.00,0.00,100.00
22983,-1078.00,0.00,100.00
23059,-972.00,0.00,100.00
23135,-960.00,0.00,100.00
23212,-902.00,0.00,100.00
23284,-879.00,0.00,100.00
23361,-670.00,0.00,100.00
23437,2797.00,0.00,100.00
23514,2503.00,0.00,100.00
23589,-6623.00,0.00,100.00
23666,8566.00,0.00,100.00
23742,-8533.00,0.00,100.00
23819,-14954.00,0.00,100.00
23896,-6322.00,0.00,100.00
23972,-6617.00,0.00,100.00
24048,-4003.00,0.00,100.00
24125,-3871.00,0.00,100.00
24198,-3603.00,0.00,100.00
24271,-3341.00,0.00,100.00
24344,-3048.00,0.00,100.00
24417,-2939.00,0.00,100.00
24489,-2827.00,0.00,100.00
24563,-2746.00,0.00,100.00
24636,-2603.00,0.00,100.00
24709,-2438.00,0.00,100.00
24782,-2164.00,0.00,100.00
24855,-1955.00,0.00,100.00
24928,-1772.00,0.00,100.00
25000,-1597.00,0.00,100.00
25074,-1520.00,0.00,100.00
25147,-1430.00,0.00,100.00
25220,-1319.00,0.00,100.00
25292,-1197.00,0.00,100.00
25366,-1173.00,0.00,100.00
