9416,-2206.00,1013.56,11.97,-423,23.68,0,0
9434,-2206.00,1013.56,11.91,-423,23.68,0,0
9451,-2128.00,1013.56,11.86,-423,23.68,0,0
9468,-2036.00,1013.56,11.87,-423,23.68,0,0
9487,-2007.00,1013.34,11.89,-423,23.68,0,0
9504,-1965.00,1013.34,11.86,-423,23.68,0,0
9522,-1922.00,1013.34,12.00,-423,23.68,0,0
9539,-1864.00,1013.34,12.18,-423,23.68,0,0
9556,-1807.00,1013.34,12.26,-423,23.68,0,0
9574,-1807.00,1013.11,12.06,-423,23.68,0,0
9592,-1740.00,1013.11,11.98,-423,23.68,0,0
9610,-1672.00,1013.11,11.89,-423,23.68,0,0
9627,-1713.00,1013.11,11.87,-423,23.68,0,0
9645,-1699.00,1013.11,11.88,-423,23.68,0,0
9663,-1633.00,1013.11,11.88,-423,23.68,0,0
9680,-1606.00,1012.89,11.86,-423,23.68,0,0
9698,-1567.00,1012.89,12.02,-423,23.68,0,0
9715,-1554.00,1012.89,12.19,-423,23.68,0,0
9733,-1503.00,1012.89,12.17,-423,23.68,0,0
9750,-1477.00,1012.89,12.07,-423,23.68,0,0
9768,-1477.00,1012.72,11.96,-423,23.68,0,0
9786,-1452.00,1012.72,11.86,-423,23.68,0,0
9803,-1388.00,1012.72,11.88,-423,23.68,0,0
9822,-1401.00,1012.72,11.91,-423,23.68,0,0
9839,-1352.00,1012.72,11.90,-423,23.68,0,0
9857,-1339.00,1012.72,11.86,-423,23.68,0,0
9874,-1328.00,1012.47,12.05,-423,23.68,0,0
9891,-1291.00,1012.47,12.25,-423,23.68,0,0
9909,-1267.00,1012.47,12.18,-423,23.68,0,0
9927,-1218.00,1012.47,12.10,-423,23.68,0,0
9945,-1267.00,1012.47,11.95,-423,23.68,0,0
9962,-1242.00,1012.32,11.86,-423,23.68,0,0
9979,-1242.00,1012.32,11.89,-423,23.68,0,0
9998,-1206.00,1012.32,11.90,-418,23.68,1,128
10015,-924.00,1012.32,12.09,-401,23.68,1,128
10033,-516.00,1012.32,12.16,-380,23.68,1,128
10051,2720.00,1012.32,12.52,-358,23.68,1,128
10068,2825.00,1012.15,12.63,-334,23.68,1,128
10086,1111.00,1012.15,12.51,-311,23.68,1,128
